Ref	x1	y1	x2	y2	Connectivity	Line Length
0	530635.696268	184468.675646	530732.377854	183731.866556	8	743.12512
1	530655.080407	184267.843134	531386.664678	184568.766995	9	791.0567
2	530781.419478	184322.997346	530814.78724	184178.968574	4	147.84348
3	530667.76131	184203.901437	531124.686107	184392.857349	5	494.45386
4	530798.725861	184207.390438	530856.762846	184149.487013	3	81.982307
5	530747.870324	184145.998012	530810.755405	184207.340453	3	87.848892
6	530753.938689	184164.022852	530781.427723	183967.049235	3	198.88251
7	530638.070845	184123.954322	531070.977779	184116.826362	7	432.96561
8	530837.494138	183967.908989	530855.674498	184153.675814	3	186.65433
9	530776.925919	183970.168342	530838.112518	183968.488823	3	61.209644
10	530803.879024	183673.983124	530817.351454	183970.908131	5	297.2305
11	530803.31836	183742.403539	530916.415863	183745.002795	2	113.12737
12	530912.186147	183663.646083	530932.996681	184479.606956	10	816.2262
13	530995.213912	184191.1051	531426.867596	184272.091918	4	439.18533
14	530992.995991	184260.565217	531006.303519	184067.090599	2	193.93173
15	531065.503058	184264.454104	531069.386482	184200.262479	3	64.308983
16	531014.260003	184282.658893	531076.262863	184252.777446	2	68.827721
17	531055.856337	184254.05708	531446.820644	184352.768824	4	403.23331
18	531101.674141	184455.949289	531227.444303	184068.530187	8	407.3226
19	531214.16151	184067.600453	531445.270572	184127.80322	7	238.82162
20	531166.28244	183883.173244	531225.605654	184081.636435	7	207.13977
21	531103.958023	183944.145791	531189.244935	183939.966987	1	85.389229
22	531199.126896	184509.586323	531222.402703	184422.521245	2	90.122643
23	531332.577077	184583.962646	531443.794706	184125.074001	10	472.17386
24	531026.454449	184114.297086	531441.626255	184200.71235	6	424.06982
25	531379.087467	183726.907975	531438.204555	184206.79061	11	483.51025
26	531367.365093	183473.836019	531409.569458	184011.596484	10	539.41406
27	531287.1303	183716.111065	531396.253684	183759.488649	5	117.42882
28	531294.394199	183777.773415	531391.413833	183726.268158	5	109.84353
29	531303.999695	183967.539095	531311.931444	183765.686875	4	202.008
30	531069.774	183880.95388	531403.294966	183913.414588	9	335.09689
31	531055.773886	183973.477395	531081.160429	183854.721389	3	121.43914
32	530979.070082	183853.471746	531006.056167	183971.198048	2	120.77968
33	531002.370625	183965.559662	531057.760946	183972.597647	2	55.835659
34	530675.049944	183881.16382	531237.536258	183892.420597	10	562.59894
35	531246.803707	183901.647956	531247.100529	183877.364907	1	24.284863
36	531378.13104	184039.148597	531423.297484	184035.389673	2	45.32259
37	531365.837654	184048.645878	531385.988583	184035.489644	2	24.065462
38	531360.008395	184112.477607	531368.607994	184041.148025	2	71.8461
39	531176.638237	183932.709065	531212.594948	183499.852969	6	434.34695
40	531191.28971	183523.406227	531385.782456	183575.241389	4	201.28168
41	530904.180192	183681.79089	531226.595062	183515.558473	5	362.74588
42	531087.294754	183504.461649	531157.699331	183893.960157	3	395.81042
43	531029.208299	183891.140964	531030.230687	183855.631128	1	35.524551
44	531182.681866	183748.751722	531275.851057	183743.153325	3	93.337242
45	531240.760077	183741.113908	531312.920852	183782.89195	4	83.382149
46	531238.319539	183754.010217	531308.056265	183714.501526	4	80.15078
47	531293.948966	183547.909213	531303.282375	183726.188181	3	178.52312
48	530707.321114	183575.611283	530731.660534	183750.551207	2	176.62498
49	530711.864142	183690.118506	530973.265559	183658.367594	4	263.32266
50	531139.131454	184142.888902	531154.533228	184098.471616	2	47.011806
51	531091.400795	184089.16428	531155.786477	184099.901207	1	65.274788
52	531060.226219	184127.683254	531065.651469	184023.503075	3	104.32134
53	530915.104898	184035.689587	531213.139122	184017.404821	3	298.5946
54	531281.498924	184088.374506	531294.732247	184020.813845	2	68.84449
